"Detector" "Sample" "Cts"
GAPD X1271.1 14190.91
UBC X1271.1 8306.01
FLJ20030 X1271.1 8968.74
ATP5B X941.6 35909.59
HSPCB X941.6 13038.1
S100A6 X941.6 24541.9
FLOT2 X941.6 14804.85
TEGT X941.6 20489.4
UBB X941.6 9730.33
TPT1 X941.6 10633.28
CFL1 X941.6 6260.1
ACTB X941.6 3983.5
RPS13 X941.6 11095.79
RPS23 X941.6 11689.39
GAPD X941.6 7660.58
UBC X941.6 4950.94
FLJ20030 X941.6 6145.61
ATP5B X501.5 39846.98
HSPCB X501.5 11853.74
S100A6 X501.5 28654.08
FLOT2 X501.5 30192.86
TEGT X501.5 56311.54
UBB X501.5 4732.84
TPT1 X501.5 9594.73
CFL1 X501.5 6900.14
ACTB X501.5 4910.96
RPS13 X501.5 4827.35
RPS23 X501.5 7141.44
GAPD X501.5 15950.87
UBC X501.5 8008.77
FLJ20030 X501.5 11193.53
ATP5B X1164.1 26974.39
HSPCB X1164.1 4390.77
S100A6 X1164.1 5140.55
FLOT2 X1164.1 13226.11
TEGT X1164.1 17017.04
UBB X1164.1 5809.87
TPT1 X1164.1 3661.3
CFL1 X1164.1 5047.27
ACTB X1164.1 2975.01
RPS13 X1164.1 4133.6
RPS23 X1164.1 2351.13
GAPD X1164.1 8944.65
UBC X1164.1 6512.5
FLJ20030 X1164.1 6105.69
ATP5B X1356.1 26281.82
HSPCB X1356.1 10206.17
S100A6 X1356.1 10249.52
FLOT2 X1356.1 57891.13
TEGT X1356.1 30115.72
UBB X1356.1 9975.18
TPT1 X1356.1 2788.52
CFL1 X1356.1 6968.89
ACTB X1356.1 5261.5
RPS13 X1356.1 5367.41
RPS23 X1356.1 4813.71
GAPD X1356.1 7271.32
UBC X1356.1 6203.09
FLJ20030 X1356.1 7000
